Movie Name,Year,Views,CommentCount,Likes
Bareilly's Barfi,1990,5149,54,242
Divines,2016,1905487,4490,65854
Maktub,2017,9632678,59473,810895
Ittefaq,2016,476389,2077,16106
Hannah Gadsby: Nanette,2017,878560,1788,12961
Ali Wong: Hard Knock Wife,2017,762616,899,20159
Seven Pounds,2018,207678,554,10372
Uncut Gems,2018,691229,1404,31892
The Kindergarten Teacher,2008,6412,2,49
Les Misérables,2019,134372,310,7979
The Sky Is Pink,2018,79306,670,3809
Next Gen,2012,812007,851,5894
Tom Segura: Disgraceful,2019,55398,336,1170
My Happy Family,2018,773,0,2
The American Meme,2018,581288,1780,5075
Badla,2017,99619,335,3959
Okko's Inn,2018,4850,1,22
The Willoughbys,2019,226088,555,10844
Hunt for the Wilderpeople,2018,651036,1101,23338
Stardust,2020,451356,623,3454
Wheelman,2016,46571,408,4250
The Artist,2007,28539,45,681
On My Skin,2017,12609,17,40
Gaga: Five Foot Two,2011,30021,44,569
Hugo,2018,471266,1714,23634
The Impossible,2017,1073134,5358,47793
War Dogs,2011,18573,236,420
Ip Man,2012,250193,1197,5748
The Speed Cubers,2016,1827,2,3
Kung Fu Panda 2,2008,2457408,209,2707
The Dirt,2020,51143,10,258
Andhadhun,2011,27010,150,1666
Atlantics,2019,122669,263,5723
37 Seconds,2018,358597,593,1211
El Camino: A Breaking Bad Movie,2019,56012,414,6243
Underworld,2019,6148,19,121
The Ring,2019,1390440,710,86207
Hold the Dark,2003,244532,765,633
The Karate Kid,2002,82087,289,998
Quincy,2018,359120,1143,15130
The Patriot,1984,33768,550,426
Get In,2018,38068,154,2195
ZZ Top: That Little Ol' Band From Texas,2000,1277364,25326,56867
Jerry Before Seinfeld,2019,1498866,4645,67227
Mike Birbiglia: The New One,2019,280065,939,20289
A Silent Voice: The Movie,2017,2259,0,0
Klaus,2019,470191,1553,4037
Snowden,2016,16305,47,147
"Nick Kroll & John Mulaney: Oh, Hello on Broadway",2019,169511,79,57
What's Eating Gilbert Grape,2016,160477,950,8388
The Da Vinci Code,2017,704363,841,16352
Stranger Than Fiction,1993,130778,737,5684
Don 2,2006,560569,1788,29990
Elena,2006,1607810,1847,39699
Real Steel,2011,1365087,6604,25811
The Founder,2013,3794124,7663,106105
Stargate,2011,3798127,12654,44277
Shirkers,2017,3083469,10440,193377
Chef,1994,2227708,3769,11817
Fire in the Blood,2018,2223948,4176,76806
Austin Powers: International Man of Mystery,2014,2408682,5987,105248
Miles Davis: Birth of the Cool,2013,2765121,2388,35529
Insidious,1997,1531538,4115,36000
Screwball,2019,792184,486,9174
The Old Guard,2010,166097,557,700
Rango,2019,1533488,9395,168268
Before I Wake,2020,370461,2235,27945
The Disaster Artist,2011,485303,499,4389
Fruitvale Station,2016,852543,2609,44619
The Florida Project,2017,643737,1827,31028
Behind the Curve,2013,1014163,2919,23095
Lawless,2017,281868,885,1546
Errementari: The Blacksmith and the Devil,2018,302837,2660,11337
Audrie & Daisy,2012,196434,762,6305
Quantum of Solace,2018,122054,893,7081
The Master,2016,179948,1007,7725
Layer Cake,2008,55910,118,213
Flipped,2012,877102,7843,15480
Steve Martin and Martin Short: An Evening You Will Forget for the Rest of Your Life,2004,137749,131,1145
Friends with Benefits,2010,207465,2328,17136
Tig,2018,260902,634,13029
Roll Red Roll,2011,107919,154,1440
Enola Holmes,2015,137860,136,1950
PK,2019,27997,0,366
Good Time,2020,42451,63,399
The Next Three Days,2015,80687,53,197
Miracle in Cell No. 7,2017,225280,1312,5770
Like Stars on Earth,2010,37376,521,2093
Trixie Mattel: Moving Parts,2019,99999,32,143
Talaash,2007,63780,301,831
Evelyn,2019,30341,34,730
I Am Sam,2012,215541,537,12465
In the Shadow of the Moon,2019,1042282,3187,6029
Neon Genesis Evangelion: The End of Evangelion,2001,157522,286,8012
Memoirs of a Geisha,2019,52416,1664,5873
Mad Max,1997,212992,365,7049
John Leguizamo's Latin History for Morons,2005,209442,836,19069
And Breathe Normally,1979,112077,572,438
The Killing of a Sacred Deer,2018,136837,505,2504
Angels & Demons,2018,35125,64,627
Smoke & Mirrors,2017,72940,145,1353
Bright,2009,434036,348,6464
Yes Man,2016,11156,5,58
Murder Mystery,2017,39720,338,2229
Pink,2008,292891,598,6725
The Photographer of Mauthausen,2019,1037561,223,716
Midnight Run,2016,49451,447,4666
Flavors of Youth,2018,6993,53,20
13th,1988,141308,327,4455
Ravenous,2018,102639,475,3218
Austin Powers: The Spy Who Shagged Me,2016,43426,47,309
The Life of David Gale,2017,6801,16,11
Tramps,1999,227162,268,4836
The Girl Next Door,2003,3914,24,48
The Two Popes,2016,7095077,29178,438470
The Wandering Earth,2004,92327,0,182
Just Another Love Story,2019,1167646,1122,2691
Eye for an Eye,2019,49915,24,386
Patton Oswalt: Annihilation,2007,6247,2,22
Joan Didion: The Center Will Not Hold,2019,127404,111,3869
Steve Jobs,2017,3505996,5162,5934
White Fang,2017,90454,59,211
A Monster Calls,2015,12382809,14836,328876
Olympus Has Fallen,2018,909177,1980,36636
Talladega Nights: The Ballad of Ricky Bobby,2016,2433987,9450,65991
The Time Traveler's Wife,2013,3621389,8127,141681
State of Play,2006,1249486,6511,46508
The Outlaw Josey Wales,2009,968868,7720,32181
The Bank Job,2009,533940,1828,12633
Miss Sloane,1976,1559003,1838,29898
Unknown,2008,760341,433,13283
6 Underground,2016,3821846,15815,177700
Uncorked,2011,539987,881,14532
Petta,2019,736276,1829,36904
Justin Timberlake + The Tennessee Kids,2020,665452,1372,19849
My Fair Lady,2019,2098612,10848,52336
"Bikram: Yogi, Guru, Predator",2016,484287,342,7792
A Futile and Stupid Gesture,1964,930403,6544,20658
The Dig,2019,146752,1167,6988
Legally Blonde,2018,325333,383,2750
Legend,2021,1825705,12025,77531
Notes on Blindness,2001,153341,92,477
When We First Met,2015,82048,347,3539
Best Worst Thing That Ever Could Have Happened...,2016,38775,140,1373
Imperial Dreams,2018,845763,2325,17929
Black Mirror: Bandersnatch,2016,177648,697,6932
Queen,2014,27408,516,2993
Joshua: Teenager vs. Superpower,2018,36414,40,125
Air Force One,2013,20541,16,10
Shot Caller,2017,77763,483,4640
What Dreams May Come,1997,17129,101,455
Angel Has Fallen,2017,3491,2,19
Crimson Peak,1998,141492,292,2025
Lemony Snicket's A Series of Unfortunate Events,2019,149257,102,178
The Red Sea Diving Resort,2015,90641,1246,2349
The Angel,2004,71707,913,4739
Army of the Dead,2019,48037,401,2167
Madagascar 3: Europe's Most Wanted,2018,90268,94,2215
Icarus,2021,12494,91,252
Collateral Beauty,2012,124948,640,5933
The Danish Girl,2017,547362,2486,10776
Green Zone,2016,44856,881,1731
John Mulaney: New in Town,2015,261429,454,4470
Strong Island,2010,46025,167,2106
The White Tiger,2012,69170,101,2462
Defiance,2017,67471,29,40
A Fortunate Man,2021,1431,0,4
The Death of Stalin,2008,1204,2,7
Underworld: Awakening,2018,704,5,10
Philomena,2017,8993,162,292
Sanju,2009,9747,81,447
Nappily Ever After,2012,5318,3,20
I Care a Lot,2013,1267977,1586,2028
The Butler,2018,465893,59,111
Qarib Qarib Singlle,2018,10775416,35422,205630
A Single Man,2021,15104666,25593,143947
Home,2013,11217517,11975,216489
Zack and Miri Make a Porno,2017,3930664,24078,104641
Seeing Allred,2009,4499836,2809,16135
Dostana,2015,1043202,5825,42380
Remember Me,2008,720203,1073,19850
Underworld: Rise of the Lycans,2018,102012605,134224,2376636
The Lovely Bones,2008,2032821,8577,124607
Madagascar: Escape 2 Africa,2010,6197393,23008,476724
No Strings Attached,2009,700476,1410,8114
Heroin(e),2009,7475081,86912,1035003
A Ghost Story,2008,505886,7030,23207
Safety Not Guaranteed,2011,514888,771,22136
Game Over,2017,406769,1253,6593
Peppermint,2017,1666003,6597,61821
Have a Good Trip: Adventures in Psychedelics,2012,1417912,67310,67856
Beasts of No Nation,2019,402199,1643,2050
Extinction,2018,1524361,4659,79021
Nobody Knows I'm Here,2020,340348,653,5474
ARQ,2015,1035804,1133,18816
Ali's Wedding,2018,474858,2364,15051
Bo Burnham: Make Happy,2020,343860,732,6546
Mank,2016,681439,5366,29225
"Extremely Wicked, Shockingly Evil and Vile",2017,800306,2977,23559
Due Date,2016,2259888,15766,99803
Between Two Ferns: The Movie,2020,1088828,10715,34989
Ip Man 2,2019,133758,308,781
Mirage,2010,169977,315,6152
Puss in Boots,2019,769769,2837,6133
Austin Powers in Goldmember,2010,52886,869,1537
The Kissing Booth,2018,360539,1515,16470
Hush,2011,4600718,5290,167704
Lost Bullet,2002,379172,360,5794
Dil Chahta Hai,2018,676692,3567,24794
Election,2016,71610,545,4571
Soni,2020,141741,961,5761
Bāhubali: The Beginning,2001,66021,542,2136
Killing Them Softly,1999,127525,414,1094
Swordfish,2019,105270,387,5186
Wish Dragon,2015,95520,313,4816
Raees,2012,828587,1088,38326
Let It Snow,2001,23429,188,365
The Babysitter: Killer Queen,2021,69199,220,4237
Hardcore Henry,2017,702208,2624,42577
Tig Notaro: Happy To Be Here,2019,6582,22,174
Spelling the Dream,2020,14657,36,89
Knock Down the House,2015,114923,4216,6490
Resident Evil: Extinction,2018,874883,844,18686
Polar,2020,22383,78,921
Saving Capitalism,2019,42658,136,2120
The Untold Tales of Armistead Maupin,2007,451675,1833,7014
The Mitchells vs. The Machines,2019,110590,10,104
Spenser Confidential,2017,111077,102,567
Psychokinesis,2017,3987,15,100
Monsters vs Aliens,2021,73984,353,3676
Twilight,2020,48130,71,271
Self/less,2018,2016029,4200,21062
The Highwaymen,2009,2899302,11535,159586
ParaNorman,2008,366048,1948,14742
Holidate,2015,597308,504,10554
Fear Street Part Two: 1978,2019,178325,178,1641
